node,avg_shortest_path_length,clustering_coeff
2,1.4285714285714286,0.925
STPc,1.1071428571428572,0.7948717948717948
5,1.5,0.9411764705882353
TEO,1.5357142857142858,0.7862318840579711
24c,1.2857142857142858,0.8658008658008658
ProM,1.5,0.9083333333333333
PBr,1.3928571428571428,0.8656126482213439
10,1.5357142857142858,0.9122807017543859
46d,1.25,0.8266666666666667
V2,1.3214285714285714,0.8736842105263158
F2,1.2857142857142858,0.8735177865612648
TEpd,1.3928571428571428,0.9084967320261438
STPr,1.1428571428571428,0.8333333333333334
9/46d,1.25,0.8184615384615385
F7,1.2857142857142858,0.8656126482213439
F5,1.2142857142857142,0.792022792022792
DP,1.3928571428571428,0.8658008658008658
7B,1.4642857142857142,0.8736842105263158
7m,1.3928571428571428,0.803076923076923
MT,1.3928571428571428,0.8142292490118577
STPi,1.1071428571428572,0.8266666666666667
8l,1.25,0.7777777777777778
8m,1.2142857142857142,0.8
7A,1.1071428571428572,0.7777777777777778
V4,1.4642857142857142,0.9117647058823529
8B,1.3214285714285714,0.9157894736842105
F1,1.3214285714285714,0.8789473684210526
9/46v,1.2857142857142858,0.8166666666666667
V1,1.7142857142857142,0.9871794871794872
