node,avg_shortest_path_length,clustering_coeff
TEad,3.412566666666668e-05,0.7912087912087912
5,4.6901666666666685e-05,0.5219512195121951
V3A,4.5046888888888915e-05,0.8787878787878788
SUB,2.1720555555555544e-05,0.8928571428571429
AIP,7.524966666666665e-05,0.9111111111111111
13,4.7363555555555546e-05,0.8304093567251462
LIP,2.5962444444444433e-05,0.7619047619047619
46d,2.8520555555555554e-05,0.43727598566308246
29/30,3.458644444444446e-05,0.8654970760233918
24d,3.425700000000002e-05,0.8368421052631579
F2,2.3333000000000002e-05,0.4909090909090909
OPRO,2.2102888888888876e-05,0.8366013071895425
12,3.0476777777777795e-05,0.822463768115942
9/46d,2.3017111111111113e-05,0.3636036036036036
F7,3.1157999999999995e-05,0.416794674859191
TH/TF,2.9214666666666663e-05,0.8095238095238095
MT,1.9156e-05,0.3950290851401375
STPi,3.858211111111112e-05,0.45061367621274107
23,2.9232666666666665e-05,0.8514492753623188
V3,2.467088888888889e-05,0.8571428571428571
1,2.183799999999999e-05,0.8222222222222222
PERI,3.0407111111111108e-05,0.7606837606837606
F1,2.1072111111111103e-05,0.6420168067226891
9/46v,3.2963666666666664e-05,0.3607207207207207
2,3.211266666666669e-05,0.4330011074197121
ProM,2.1193333333333326e-05,0.4492600422832981
8m,3.434544444444445e-05,0.3401898734177215
Core,2.9969000000000004e-05,0.8205128205128205
TEav,3.070077777777778e-05,0.7953216374269005
Pro.St.,2.798677777777776e-05,0.8888888888888888
F4,2.7167777777777776e-05,0.8627450980392157
45B,6.513488888888888e-05,0.8142857142857143
V6A,2.20361111111111e-05,0.9010989010989011
46v,6.334733333333332e-05,0.8571428571428571
V6,2.9162222222222218e-05,0.9523809523809523
STPr,2.616366666666668e-05,0.38509316770186336
24b,2.357633333333334e-05,0.8133333333333334
TPt,3.211422222222223e-05,0.8431372549019608
LB,2.153966666666666e-05,0.7526315789473684
SII,2.202322222222221e-05,0.8131868131868132
24a,2.9440444444444446e-05,0.8368421052631579
7B,3.3705000000000003e-05,0.5013876040703052
11,3.7615888888888884e-05,0.8529411764705882
3,2.8556666666666657e-05,0.8571428571428571
V1,3.451744444444444e-05,0.45495495495495497
32,2.2102888888888876e-05,0.8952380952380953
8r,3.145377777777778e-05,0.7904761904761904
MB,2.8081333333333325e-05,0.77
TEa/ma,3.456444444444446e-05,0.7572463768115942
FST,5.610366666666665e-05,0.7953216374269005
TEO,2.527511111111111e-05,0.41353781068217876
24c,4.2592e-05,0.44646464646464645
Pi,2.854877777777777e-05,0.9083333333333333
TEOm,3.3266555555555576e-05,0.8952380952380953
10,2.294377777777777e-05,0.34011759384893714
V2,2.9355222222222214e-05,0.5238095238095238
44,3.733433333333333e-05,0.8304093567251462
MIP,2.3822111111111116e-05,0.8761904761904762
25,2.5049555555555563e-05,0.75
TEpd,2.372133333333333e-05,0.3593220338983051
V4t,7.042433333333331e-05,0.9333333333333333
F5,2.022377777777777e-05,0.37045045045045044
DP,2.655088888888888e-05,0.4073446327683616
POLE,4.053933333333336e-05,0.8333333333333334
7A,3.168311111111111e-05,0.45783730158730157
VIP,3.619222222222222e-05,0.8676470588235294
MST,3.240966666666668e-05,0.7933333333333333
ENTO,4.2643222222222243e-05,0.7368421052631579
PIP,3.821366666666669e-05,0.8351648351648352
STPc,2.8237444444444434e-05,0.4324956165984804
14,3.4352888888888906e-05,1.0
9,4.0439111111111126e-05,0.9238095238095239
45A,2.2050777777777764e-05,0.9333333333333333
31,5.76142222222222e-05,0.8939393939393939
PBr,2.6399222222222214e-05,0.48936170212765956
PGa,4.3443333333333345e-05,0.8245614035087719
TEa/mp,3.0580555555555554e-05,0.8916666666666667
Gu,3.1384999999999985e-05,0.8571428571428571
TEpv,4.0991222222222226e-05,0.8416666666666667
INS,3.0102777777777802e-05,0.8354978354978355
OPAI,3.361022222222224e-05,0.8055555555555556
F6,3.855466666666664e-05,0.8974358974358975
7m,2.826766666666666e-05,0.4026936026936027
F3,2.9200111111111118e-05,0.9238095238095239
PBc,3.394766666666666e-05,0.8205128205128205
8l,4.151922222222222e-05,0.37156177156177156
7op,4.4936111111111134e-05,0.8
V4,2.8715666666666674e-05,0.5591133004926109
8B,2.6016666666666675e-05,0.4408033826638478
IPa,6.255533333333333e-05,0.819047619047619
PIR,5.456044444444445e-05,0.3333333333333333
