p,l_mean,l_std,c_mean,c_std
0.63,0.01612806661341853,6.45862970506647e-06,0.05405864361129372,0.0014005718169889402
0.3969,0.01709449303514377,2.3240885666573745e-05,0.22368181180791594,0.0034650929651174195
0.25,0.018432996900958464,2.4733288951692568e-05,0.42961678330005837,0.00393244792651932
0.1575,0.020236020830670925,6.602082574017278e-05,0.60587991458545,0.005575943456943069
0.0992,0.022565370319488815,7.93312650554402e-05,0.7405179332334818,0.003654618187355601
0.0625,0.025350823194888183,0.00017304334708913305,0.8287393363303872,0.003909173901509656
0.0394,0.028827137571884986,0.00019865799350039128,0.8872640457875978,0.0026928660235377142
0.0248,0.03375827399361021,0.0005708440729692234,0.9289753231768726,0.0034459852348762564
0.0156,0.040600446070287545,0.0008772522648054351,0.9559050402930807,0.00201773645104322
0.0098,0.04933778680511182,0.0013790103719234538,0.9717105930736256,0.001921622108675793
0.0062,0.06113617948881789,0.0022264555986786726,0.9815653484848724,0.0014845775362692046
0.0039,0.07908906782747603,0.0033263939017897635,0.9885453961039129,0.001146912323678585
0.0025,0.10351464265175718,0.009392317659917923,0.9922232619047724,0.0010528110966521733
0.0016,0.13915470741214056,0.006971125563777694,0.9952527813852875,0.0003676459997146733
0.001,0.1962939589456869,0.04017965684835938,0.9970969848484895,0.0007048799663856599
0.0006,0.2716980715015974,0.07386639539160901,0.9982768636363671,0.00047584235476306796
0.0004,0.3792589012140575,0.0741312522063284,0.9990189696969717,0.0003280986647373919
0.0002,0.4795834896485623,0.11540199646478289,0.9993110454545461,0.0003254538122525235
0.0002,0.4950614030670927,0.09856937346066141,0.9993493787878807,0.0002622221293237701
0.0001,0.7199252737380191,0.1615445445407903,0.9997128636363641,0.00019197412092719504
